"idhod","hodnota","stapro_kod","pohlavi_cis","pohlavi_kod","vek_cis","vek_kod","vuzemi_cis","vuzemi_kod","casref_od","casref_do","stapro_txt","pohlavi_txt","vek_txt","vuzemi_txt"
"763510425","33.3681225231502","5411","102","1","7700","410045610046000","65","2119","2012-01-01","2016-12-31","Naděje dožití","muž","45 až 46 (více nebo rovno 45 a méně než 46)","Poděbrady"
"763510427","82.2133088438978","5411","102","2","7700","400000600001000","65","2119","2012-01-01","2016-12-31","Naděje dožití","žena","0 až 1 (více nebo rovno 0 a méně než 1)","Poděbrady"
"763510426","17.2039176631927","5411","102","1","7700","410065610066000","65","2119","2012-01-01","2016-12-31","Naděje dožití","muž","65 až 66 (více nebo rovno 65 a méně než 66)","Poděbrady"
"763510424","76.7538877417987","5411","102","1","7700","400000600001000","65","2119","2012-01-01","2016-12-31","Naděje dožití","muž","0 až 1 (více nebo rovno 0 a méně než 1)","Poděbrady"
"763510433","80.7050206375487","5411","102","2","7700","400000600001000","65","2120","2012-01-01","2016-12-31","Naděje dožití","žena","0 až 1 (více nebo rovno 0 a méně než 1)","Příbram"
"763510431","31.7907616489267","5411","102","1","7700","410045610046000","65","2120","2012-01-01","2016-12-31","Naděje dožití","muž","45 až 46 (více nebo rovno 45 a méně než 46)","Příbram"
"763510435","18.6952379113391","5411","102","2","7700","410065610066000","65","2120","2012-01-01","2016-12-31","Naděje dožití","žena","65 až 66 (více nebo rovno 65 a méně než 66)","Příbram"
"763510434","36.6527638871869","5411","102","2","7700","410045610046000","65","2120","2012-01-01","2016-12-31","Naděje dožití","žena","45 až 46 (více nebo rovno 45 a méně než 46)","Příbram"
"763510430","75.2939154403136","5411","102","1","7700","400000600001000","65","2120","2012-01-01","2016-12-31","Naděje dožití","muž","0 až 1 (více nebo rovno 0 a méně než 1)","Příbram"
"763510432","15.2563604991853","5411","102","1","7700","410065610066000","65","2120","2012-01-01","2016-12-31","Naděje dožití","muž","65 až 66 (více nebo rovno 65 a méně než 66)","Příbram"
"763510439","80.5529465340928","5411","102","2","7700","400000600001000","65","2121","2012-01-01","2016-12-31","Naděje dožití","žena","0 až 1 (více nebo rovno 0 a méně než 1)","Rakovník"
"763510441","18.3211317125303","5411","102","2","7700","410065610066000","65","2121","2012-01-01","2016-12-31","Naděje dožití","žena","65 až 66 (více nebo rovno 65 a méně než 66)","Rakovník"
"763510440","36.4630685027217","5411","102","2","7700","410045610046000","65","2121","2012-01-01","2016-12-31","Naděje dožití","žena","45 až 46 (více nebo rovno 45 a méně než 46)","Rakovník"
"763510438","15.6478141758569","5411","102","1","7700","410065610066000","65","2121","2012-01-01","2016-12-31","Naděje dožití","muž","65 až 66 (více nebo rovno 65 a méně než 66)","Rakovník"
